Office ID,MANUFACTURER,MANFACTURINGYEAR,Name,Lat,Lon,Substation_No,Serial_No,Voltage,Capacity,FUNCTIONAL_LOC
Tabarjul Office مكتب خدمات طبرجل,<Null>,<Null>,659138,30.47440625,38.25910201,659138,<Null>,<Null>,<Null>,4300-JTS-659138
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,114264,30.00242175,40.22035932,114264,<Null>,<Null>,<Null>,4300-JSS-114264
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112629,29.98887297,40.13425078,112629,<Null>,<Null>,<Null>,4300-JSS-112629
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,137107,30.04150394,40.20817531,137107,<Null>,<Null>,<Null>,4300-JSS-137107
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166312,29.89194525,40.35997179,166312,<Null>,<Null>,<Null>,4300-JSS-166312
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166331,29.88915591,40.36391356,166331,<Null>,<Null>,<Null>,4300-JSS-166331
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166305,29.88020014,40.34976104,166305,<Null>,<Null>,<Null>,4300-JSS-166305
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,180786,30.16602725,40.30967168,180786,<Null>,<Null>,<Null>,4300-JSS-180786
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,191136,29.89685682,40.41345704,191136,<Null>,<Null>,<Null>,4300-JSS-191136
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112635,29.98729944,40.02994453,112635,<Null>,<Null>,<Null>,4300-JSS-112635
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,165166,31.28124853,37.53905711,165166,<Null>,<Null>,<Null>,4300-JSS-165166
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,121031,29.96928242,40.21675373,121031,<Null>,<Null>,<Null>,4300-JSS-121031
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,121079,29.96932749,40.21618851,121079,<Null>,<Null>,<Null>,4300-JSS-121079
Al-Qurayyat Office مكتب خدمات القريات,<Null>,<Null>,601246,31.34198756,37.32605617,601246,<Null>,<Null>,<Null>,4300-JQS-601246
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,169228,29.80016932,40.01208678,169228,<Null>,<Null>,<Null>,4300-JSS-169228
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,123101,29.95907178,40.21917474,123101,<Null>,<Null>,<Null>,4300-JSS-123101
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112612,29.94420153,40.05968909,112612,<Null>,<Null>,<Null>,4300-JSS-112612
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181457,30.09796465,40.19796027,181457,<Null>,<Null>,<Null>,4300-JSS-181457
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181458,30.22013541,40.19511396,181458,<Null>,<Null>,<Null>,4300-JSS-181458
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112608,29.90610622,40.03508641,112608,<Null>,<Null>,<Null>,4300-JSS-112608
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,125130,29.95031873,40.17599298,125130,<Null>,<Null>,<Null>,4300-JSS-125130
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,134163,29.90323708,40.16932069,134163,<Null>,<Null>,<Null>,4300-JSS-134163
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,167303,29.84807544,40.16834218,167303,<Null>,<Null>,<Null>,4300-JSS-167303
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,167304,29.84815141,40.17214329,167304,<Null>,<Null>,<Null>,4300-JSS-167304
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,129156,29.94711234,40.18853818,129156,<Null>,<Null>,<Null>,4300-JSS-129156
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166287,29.85975454,40.35854917,166287,<Null>,<Null>,<Null>,4300-JSS-166287
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,120141,29.98047952,40.23934043,120141,<Null>,<Null>,<Null>,4300-JSS-120141
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,109070,30.00240329,40.1920893,109070,<Null>,<Null>,<Null>,4300-JSS-109070
Domah Al-Jundal Office مكتب خدمات دومة الجندل,<Null>,<Null>,209113,29.84660599,39.86370183,209113,<Null>,<Null>,<Null>,4300-JDS-209113
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,118372,29.96306963,40.30574582,118372,<Null>,<Null>,<Null>,4300-JSS-118372
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,180490,30.14845382,40.3445402,180490,<Null>,<Null>,<Null>,4300-JSS-180490
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192107,29.18477653,41.63648194,192107,<Null>,<Null>,<Null>,4300-JSS-192107
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112609,29.94620961,40.11393601,112609,<Null>,<Null>,<Null>,4300-JSS-112609
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192102,29.26744032,41.4418962,192102,<Null>,<Null>,<Null>,4300-JSS-192102
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192100,29.25160077,41.44677458,192100,<Null>,<Null>,<Null>,4300-JSS-192100
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,111808,30.02366788,40.11259757,111808,<Null>,<Null>,<Null>,4300-JSS-111808
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,111778,30.13613737,40.09619544,111778,<Null>,<Null>,<Null>,4300-JSS-111778
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,138148,30.07884627,40.28162593,138148,<Null>,<Null>,<Null>,4300-JSS-138148
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,125132,29.94859309,40.14881869,125132,<Null>,<Null>,<Null>,4300-JSS-125132
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,183158,30.24914525,40.2636771,183158,<Null>,<Null>,<Null>,4300-JSS-183158
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,115173,29.99435509,40.23907215,115173,<Null>,<Null>,<Null>,4300-JSS-115173
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166310,29.83206719,40.28038038,166310,<Null>,<Null>,<Null>,4300-JSS-166310
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,181443,30.21032184,40.2588799,181443,<Null>,<Null>,<Null>,4300-JSS-181443
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112621,29.97758472,40.14618707,112621,<Null>,<Null>,<Null>,4300-JSS-112621
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,110087,29.96822757,40.17412024,110087,<Null>,<Null>,<Null>,4300-JSS-110087
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192209,29.25098616,41.44331942,192209,<Null>,<Null>,<Null>,4300-JSS-192209
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192210,29.19795812,41.52697953,192210,<Null>,<Null>,<Null>,4300-JSS-192210
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192211,29.19755762,41.52776039,192211,<Null>,<Null>,<Null>,4300-JSS-192211
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182669,30.09308222,40.40780418,182669,<Null>,<Null>,<Null>,4300-JSS-182669
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,192203,29.19845672,41.51960645,192203,<Null>,<Null>,<Null>,4300-JSS-192203
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182330,30.10216165,40.40974995,182330,<Null>,<Null>,<Null>,4300-JSS-182330
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,119097,29.98287561,40.26455824,119097,<Null>,<Null>,<Null>,4300-JSS-119097
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,169287,29.83351928,40.11964768,169287,<Null>,<Null>,<Null>,4300-JSS-169287
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,167339,29.88847886,40.10456851,167339,<Null>,<Null>,<Null>,4300-JSS-167339
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,169276,29.81233318,40.10489337,169276,<Null>,<Null>,<Null>,4300-JSS-169276
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,112570,29.96258969,40.08873402,112570,<Null>,<Null>,<Null>,4300-JSS-112570
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,137105,30.04601628,40.21274523,137105,<Null>,<Null>,<Null>,4300-JSS-137105
