Office,التجهيز,Subscription,Breaker,consumption,x,y
3440,5001397606,33120062171,160,17796.07,38.08651,30.64021
3440,5001339873,33120150498,150,17737.2,38.31609844,30.45707128
3440,5007880999,33120194026,150,17697.59,38.36001682,30.39671038
3410,5001303301,33010504301,150,17692.57,40.21722295,30.24020099
3440,5001370184,33120090148,83,17685.92,38.04613343,30.65165976
3440,5001439333,33120164822,150,17678.15,38.2510223,30.53016495
3420,5001311889,33060098513,200,17632.4,39.52778614,29.86478434
3440,5008573322,33120220583,100,17626.78,38.29037103,30.5040847
3420,5008351964,33060187696,200,17575.6,39.5345237,29.85372607
3420,5001306058,33060097347,200,17426.8,39.53848478,29.8538467
3420,5008146783,33060182401,200,17408,39.6027,29.8223
3420,5001326695,33060073701,200,17406.8,39.78892611,29.7717578
3440,5001339933,33120036671,160,17404.82,38.27954431,30.45087285
3440,5004148680,33120192916,100,17375.39,38.28964294,30.40139663
3440,5008241106,33120207984,160,17351.27,38.09336117,30.58638204
3410,5001275669,33010305906,100,17348.36,40.15888652,29.97934689
3410,5001311168,33010416075,100,17344.59,40.0392,29.912
3440,5001422838,33120048547,160,17259.4,38.20300262,30.53462963
3420,5001334750,33060136122,200,17163.6,39.51689153,29.86384067
3440,5001386206,33120140894,200,17150.4,38.23721863,30.45289898
3440,5008658327,33120224045,70,17134.41,38.26181829,30.52709496
3420,5001328207,33060103551,200,17114.4,39.52109972,29.87234685
3420,5001333668,33060030025,150,17036.04,39.8421,29.9289
3440,5010781132,3120303087,150,17031.43,38.31225136,30.5055361
3440,5001846637,33120187200,150,17026.29,38.18315558,30.42370604
3440,5001366802,33120137754,200,17022.8,38.28882397,30.43818989
3420,5001303579,33060142489,200,17015.6,39.58852984,29.82981304
3430,5009342096,33110457259,150,17010.89,37.67377922,31.08605819
3420,5011504840,3060260016,300,16984.2,39.51777294,29.83569201
3430,5001400937,33110068985,400,16868.8,37.35372256,31.27801179
3440,5001381027,33120140212,60,16853.77,38.26022041,30.53110491
3420,5010095962,3060226097,200,16850.8,39.5564,29.8333
3420,5001308416,33060128354,200,16802,39.45935408,29.89742923
3430,5001361918,33110259001,150,16783.45,37.62564389,31.06267207
3410,5001284995,33010365673,100,16757.97,40.454469,29.79346927
3430,5011507037,3110546377,150,16746.67,37.65778879,31.10278184
3420,5001323079,33060025320,150,16741.08,39.87644542,29.79168796
3420,5001312158,33060098701,160,16735.52,39.54048889,29.84030301
3420,5001312892,33060143950,400,16712.8,39.52622997,29.89920139
3440,5004084489,33120190555,30,16689.71,38.40125386,30.45820487
3420,5001326597,33060058330,200,16672,39.5767411,29.84060709
3440,5010844845,3120308501,125,16642.65,38.3081049,30.45533851
3440,5008346548,33120211234,100,16586.12,38.18147898,30.41763784
3430,5009615229,3110467282,150,16475.49,37.50781457,31.2484865
3410,5010479979,3011021210,400,16443.2,40.08887339,30.14514789
3440,5001352935,33120152302,100,16356.25,38.23100047,30.55447322
3410,5007987216,33010683838,200,16270.4,40.29388223,29.8806132
3440,5008364387,33120211584,100,16236.39,38.1635838,30.49354133
3440,5001336203,33120134019,160,16177.05,38.2839489,30.43877245
3430,5001439031,33110334526,100,16158.98,37.65602156,31.08140786
3420,5001324017,33060101790,300,16158.6,39.62528497,29.80583487
3420,5001318995,33060085963,200,16092.8,39.8419,29.9287
3410,5001311587,33010446431,100,15989.74,40.41618873,30.0610296
3410,5001303854,33010190227,300,15952.2,40.00092536,29.79410633
3430,5001343803,33110359006,160,15850.57,37.5665555,31.21430907
3410,5001302920,33010642281,150,15843.29,40.4265088,30.05403345
3440,5011744006,3120338977,300,15731.4,38.0817,30.5958
3410,5009295635,33010919584,50,15669.53,40.47916688,29.72222532
3410,5001319547,33010433559,150,15629.38,40.24533213,30.05687799
3440,5001396977,33120093767,160,15536.72,38.28575624,30.45671004
3440,5001435532,33120147895,160,15522.67,38.07445674,30.62051143
3420,5001310479,33060098255,200,15512.8,39.59201603,29.86649065
3420,5001303365,33060127268,300,15490.8,39.6377349,29.82317252
3440,5004140836,33120192166,200,15460.8,37.98792983,30.68993017
3420,5001332839,33060105153,400,15448,39.64826135,29.80921848
3410,5010482239,3011026351,150,15417.52,40.1906,29.9844
3440,5001377464,33120091351,200,15387.2,38.29603368,30.46020981
3440,5007949368,33120196915,100,15366.8,38.25915299,30.54731471
3410,5001270946,33010333160,100,15309.02,40.45903999,29.78415912
3420,5001323989,33060101753,200,15233.6,39.53028276,29.84850965
3440,5004141560,33120192344,200,15175.2,38.24020686,30.40486837
3430,5007881576,33110384500,60,15161.1,37.74238967,30.9851067
3420,5001317356,33060115580,300,15156.6,39.48249549,29.88448874
3430,5001394573,33110312823,400,15068,37.44696747,31.40838731
3440,5001445967,33120149316,100,15058.64,38.2432729,30.45822419
3420,5010834920,3060243392,400,15039.2,39.4867,29.9134
3440,5001415623,33120112165,160,14921.43,38.45461717,30.40395782
3410,5001290885,33010279118,100,14912.16,39.9977364,30.0068172
3410,5001328083,33010361807,100,14840.29,40.40886019,29.88990985
3410,5001318282,33010478031,200,14811.2,40.37360419,29.83108903
3420,5001311083,33060037591,200,14810.4,39.77695283,29.93193269
3440,5008740045,33120226596,160,14742.87,38.20654601,30.54805408
3440,5008113565,33120203018,100,14735.32,38.38999843,30.38870559
3410,5001248997,33010082758,100,14693.63,40.32404596,30.15022767
3440,5001393937,33120173831,60,14639.41,38.41632309,30.40654847
3420,5001323762,33060101459,300,14592.6,39.62280644,29.91417709
3430,5008004136,33110388607,160,14482.49,37.69600931,31.04031069
3420,5001322159,33060024725,200,14477.6,39.82564938,29.90175106
3410,5001210577,33010064428,160,14466.16,40.12201735,29.88069582
3430,5001394553,33110312814,400,14387.2,37.41128603,31.41268291
3410,5008282024,33010710111,150,14322.66,40.3837,29.9379
3440,5010210561,3120278841,160,14298.92,38.71175,30.34708
3420,5001316504,33060023601,200,14198.4,39.76573485,29.91110336
3440,5001415165,33120078653,200,14171.2,38.22647442,30.44075339
3420,5001331752,33060150435,160,14162.48,39.59484149,29.82950841
3420,5001312955,33060114063,200,14132,39.47124327,29.89459126
3440,5001374114,33120155421,200,14101.2,38.7110021,30.32206071
3420,5010853487,3060243777,125,14097.75,39.8215,29.9347
3440,5001864610,33120189509,150,14058.45,38.13414731,30.4228394
3410,5007895381,33010675943,100,14039.64,40.37164811,29.81700169
3440,5009564982,3120253781,150,14020.17,38.0934,30.58369
3440,5008290338,33120209423,100,14019.71,38.7060237,30.30630435
